name,category,overall_corr,sign_flip_rate,strong_sign_flip_rate,n_cells,mean_r2
allograft_mt3,allograft,0.18503648082237162,0.3584070796460177,0.31125827814569534,1469,0.10957240533100157
allograft_mt6,allograft,0.4010687574227532,0.24778761061946902,0.2119205298013245,3317,0.25390221401441204
allograft_3L,allograft,0.18248198300606885,0.3407079646017699,0.2781456953642384,1801,0.18335222526612685
allograft_2LR,allograft,0.28636069289647964,0.30973451327433627,0.2582781456953642,2992,0.2925788503235253
allograft_mt5,allograft,0.27054799209950614,0.3053097345132743,0.2781456953642384,3104,0.25384168260020407
allograft_2L,allograft,0.23320600731226723,0.30973451327433627,0.271523178807947,2125,0.2789601253201466
allograft_mt4Rf,allograft,0.24653887446311584,0.3008849557522124,0.26490066225165565,4026,0.23680429512579726
allograft_TKO-luc,TKO,0.6206876875312143,0.23893805309734514,0.15894039735099338,4146,0.5498306292431346
allograft_mt4,allograft,0.28538385799734656,0.25663716814159293,0.2185430463576159,3945,0.24106770302772618
allograft_5B,allograft,0.35141100457342433,0.3274336283185841,0.2913907284768212,5446,0.15193191615347967
allograft_mt2,allograft,0.12832829462694179,0.415929203539823,0.37748344370860926,3224,0.11437624137526792
allograft_1L,allograft,0.49357025660861986,0.3141592920353982,0.2251655629139073,1383,0.35834947094260583
human_RU1181,human_tumor,0.18980721890187333,0.3008849557522124,0.2913907284768212,4362,0.22594277197595336
human_PleuralEffusion,human_tumor,0.2131110174798015,0.3893805309734513,0.36423841059602646,559,
human_RU1293,human_tumor,0.20427555953708523,0.3938053097345133,0.3841059602649007,5667,0.1544156268089052
human_RU1145,human_tumor,0.17671266986575437,0.37168141592920356,0.3509933774834437,3422,0.09792622507653337
human_RU426,human_tumor,0.273692879280556,0.3584070796460177,0.32450331125827814,1374,
human_RU1080,human_tumor,0.20984994618813801,0.3230088495575221,0.2847682119205298,2915,0.25722280260801655
human_RU1152,human_tumor,0.16162062177840422,0.38495575221238937,0.3443708609271523,1483,0.11521843979202141
human_RU1124,human_tumor,0.11947381880507357,0.30973451327433627,0.26490066225165565,891,0.46881989464106855
human_RU1144,human_tumor,0.19610915411948956,0.37610619469026546,0.32450331125827814,3617,0.22980136077839336
human_RU1065,human_tumor,0.042165830747792336,0.3141592920353982,0.2781456953642384,177,0.4560631617526429
human_RU1322,human_tumor,0.1634263066253465,0.36283185840707965,0.31125827814569534,3098,0.09749170510337325
human_RU1231,human_tumor,0.27996054513152113,0.3495575221238938,0.33112582781456956,4942,0.1401053005438147
human_RU1229,human_tumor,0.16190662086681715,0.3274336283185841,0.2913907284768212,3437,0.14870008689403738
human_RU1066,human_tumor,0.1628159361364946,0.415929203539823,0.37748344370860926,2762,0.12370163505379853
human_RU1195,human_tumor,0.11232829493076901,0.2920353982300885,0.25165562913907286,267,0.42671937697872075
human_RU1311,human_tumor,0.22234762907910327,0.28761061946902655,0.25165562913907286,145,0.5379865508748085
human_RU1215,human_tumor,0.18036063564291682,0.35398230088495575,0.3576158940397351,3923,0.033169142510470394
human_RU779,human_tumor,-0.030435265317681898,0.4336283185840708,0.4370860927152318,216,
human_RU1108,human_tumor,0.19977974322206263,0.3584070796460177,0.31788079470198677,11056,0.07765384075023023
organoid_shGFP,organoid,0.2699857661775499,0.42035398230088494,0.37748344370860926,8894,0.023188739280125447
organoid_shRORB1,organoid,0.47995699951090826,0.30973451327433627,0.2582781456953642,6193,0.15082702253875024
organoid_shRORB2,organoid,0.40463691671835783,0.37168141592920356,0.2781456953642384,10101,0.16178585380406868
organoid_combined,organoid,0.3781947065851797,0.42035398230088494,0.33774834437086093,25188,0.0995993149327351
mets_compiled,mets_compiled,0.23069618244992407,0.33185840707964603,0.31125827814569534,5533,0.019325370558959512
