name,n_scored,n_excluded,restricted_r2,restricted_r2_median,penalized_r2,penalized_r2_median,restricted_auc,penalized_auc,baseline_r2_full,baseline_r2_full_median,baseline_auc_full
human_RU1195,53,0,0.42813928206738056,0.5642268540967932,0.42813928206738056,0.5642268540967932,0.8356453760830105,0.8356453760830105,0.42671937697872075,0.5642268540967932,0.8338474661133196
allograft_2L,53,0,0.2749063194255068,0.2134554449933708,0.2749063194255068,0.2134554449933708,0.7714879782780288,0.7714879782780288,0.2789601253201466,0.2134554449933708,0.7734569076202584
cgrp_k5_K5,53,0,0.10715022047298092,0.0311592594132582,0.10715022047298092,0.0311592594132582,0.7033201300388336,0.7033201300388336,0.10254198157359858,0.0554939177859915,0.7042967239638672
allograft_1L,53,0,0.3548229498378953,0.6156260268695117,0.3548229498378953,0.6156260268695117,0.8131780684783286,0.8131780684783286,0.35834947094260583,0.6156260268695117,0.8121917133652516
allograft_mt4Rf,53,0,0.23049627846958612,0.2304369212797645,0.23049627846958612,0.2304369212797645,0.7540316372859514,0.7540316372859514,0.23680429512579726,0.2215548314929317,0.7563062304464785
human_RU779,53,0,-21.562480549291408,0.295503761187876,-21.562480549291408,0.295503761187876,0.7298887124879474,0.7298887124879474,,,
human_RU1229,53,0,-8.983441283819447,0.1120110434108727,-8.983441283819447,0.1120110434108727,0.7180781765808828,0.7180781765808828,0.14870008689403738,0.1073146236348906,0.7138096143300535
celltag_fate_dpt_RPMA,53,0,0.13326060157255554,0.0240616338616379,0.13326060157255554,0.0240616338616379,0.7195930404961726,0.7195930404961726,0.13804494496476774,0.028376000312816,0.7201312212700657
allograft_2LR,53,0,0.27069437564001136,0.2319809369751609,0.27069437564001136,0.2319809369751609,0.776100532745777,0.776100532745777,0.2925788503235253,0.2383409783767829,0.7819732254041464
cgrp_k5_CGRP,53,0,0.092763257207701,0.0061818295953847,0.092763257207701,0.0061818295953847,0.693478002765415,0.693478002765415,0.08694952506115651,0.0061818295953847,0.6935977637778495
celltag_fate_dpt_RPM,53,0,0.060809744475230416,0.0080799054635893,0.060809744475230416,0.0080799054635893,0.6805316994511574,0.6805316994511574,0.05894467795896695,0.0129215100934463,0.679859078831212
human_RU1065,53,0,-39.125158291834865,0.6028460456101505,-39.125158291834865,0.6028460456101505,0.8467238057984614,0.8467238057984614,0.4560631617526429,0.5852706615441303,0.8514830453547616
human_RU1293,53,0,-141.89192191035173,0.0757935129750384,-141.89192191035173,0.0757935129750384,0.7069750882432055,0.7069750882432055,0.1544156268089052,0.0763903078154196,0.7090510301102955
allograft_mt4,53,0,0.24106770302772623,0.2403989785160422,0.24106770302772623,0.2403989785160422,0.7637132595057293,0.7637132595057293,0.24106770302772618,0.2403989785160422,0.7637132595057294
human_RU1145,53,0,-15.674302721798304,0.0682777298038213,-15.674302721798304,0.0682777298038213,0.6774852353781128,0.6774852353781128,0.09792622507653337,0.0712448242757881,0.6806141667653799
allograft_mt3,53,0,-7.199744149549294,0.1142805927119166,-7.199744149549294,0.1142805927119166,0.714491293858113,0.7144912938581132,0.10957240533100157,0.1142805927119167,0.7086217732117095
allograft_5B,53,0,0.1343143633451624,0.083614377998766,0.1343143633451624,0.083614377998766,0.7150484806930107,0.7150484806930107,0.15193191615347967,0.0902806889539405,0.7190406204740071
organoid_shRORB1,53,0,0.14674898258426222,0.1529046061396433,0.14674898258426222,0.1529046061396433,0.7127043750583775,0.7127043750583775,0.15082702253875024,0.1218725721786633,0.7137524715083315
organoid_celltag_RPMA,53,0,-22782.001235480682,0.2907911715409849,-22782.001235480682,0.2907911715409849,0.7791780049929482,0.7791780049929481,0.22908731118796802,0.240420150106185,0.7534277118742438
human_RU1181,53,0,0.22345011360476924,0.1825320338694078,0.22345011360476924,0.1825320338694078,0.7492281219220124,0.7492281219220124,0.22594277197595336,0.1633440265212451,0.7477367963462728
allograft_mt2,53,0,0.11437624137526792,0.1129924593266255,0.11437624137526792,0.1129924593266255,0.7112337665040745,0.7112337665040745,0.11437624137526792,0.1129924593266255,0.7112337665040745
organoid_celltag_RPM,53,0,-3911.689757636185,0.4120051309789793,-3911.689757636185,0.4120051309789793,0.794058274879668,0.794058274879668,0.26611459865588005,0.318628918020598,0.767194501549931
allograft_mt5,53,0,-4.446478781828539,0.2962835606975572,-4.446478781828539,0.2962835606975572,0.7730962660106514,0.7730962660106514,0.25384168260020407,0.3107392605849338,0.7695111083596573
human_RU1144,53,0,-13.900855258677627,0.2723964382151572,-13.900855258677627,0.2723964382151572,0.735691274993272,0.735691274993272,0.22980136077839336,0.2795087727498898,0.7466122127014415
human_RU1108,53,0,-35484.924745393226,0.1464594646928845,-35484.924745393226,0.1464594646928845,0.746786812087823,0.746786812087823,0.07765384075023023,0.1564218790895997,0.7113931750899894
organoid_shGFP,53,0,0.0265542914973492,-0.0205774794832873,0.0265542914973492,-0.0205774794832873,0.6600704723676974,0.6600704723676974,0.023188739280125447,-0.0289261901563882,0.6599848226684297
